Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
Urgent and Specialist Care Centre - Logan Hospital,Australian Labor Party,"Labor has committed $33.4 million to establish a new Urgent and Specialist Care Centre, which will treat people with urgent but not life-threatening illnesses and injuries.&nbsp;<div><br></div><div>The Centre will be run by Logan Hospital and include 11 urgent care beds to treat people with injuries such as minor fractures, dislocations, abrasions and lacerations, as well as respiratory tract infections.
 
Outpatient care will be a key focus of the Centre with the inclusion of 22 specialist consultation rooms – boosting Logan Hospital’s capacity by a third, including pathology, diagnostic imaging and pharmacy services.
 
The new walk-in Centre will operate seven days a week and is expected to see over 15,000 patients a year.</div><div><br></div><div>The Centre will be funded through the Better Hospitals Fund.</div>",$33.4 million,,17/01/2019,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,65
Urgent care clinic - Bribie Island,Australian Labor Party,Labor has committed $17 million to establish a new urgent care clinic on Bribie Island. The clinic will treat people with urgent but not life threatening illnesses and injuries.,$17 million,,12/07/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,66
Swim Smart Program,Australian Labor Party,"<p class=""MsoNormal"">Labor has committed $46 million over three years to fund additional swimming lessons for schools that need it, catch-up lessons for kids needing extra support, and more support for the cost of transport and pool entry fees. The program will start from the 2020 school year.</p><p class=""MsoNormal"">The policy has been costed by the independent Parliamentary Budget Office to have a budget impact of $46 million over the forward estimates, and will be in addition to existing state and territory programs.</p>",$46 million over 3 years,,20/01/2019,,Education and Training,Press Release,Leader,National,4,,,,,With Policy Area,67
New Cairns University Hospital,Australian Labor Party,"Labor has committed $60 million towards a new Cairns University Hospital. This will help attract and retain health workers in Far North Queensland.<div><br></div><div>The funding will include $10 million towards the purchase of the required land as well as $50 million to fully fund the James Cook University’s Tropical Enterprise Centre within a new Cairns University Hospital precinct.<div><br></div><div>When finished, the state-of-the-art facility will host:</div><div><ul><li>Clinical training and development – helping to attract and retain health workers in both primary and acute care to Far North Queensland.</li><li>Research – into regional priorities such as Aboriginal and Torres Strait Islander health, tropical medicine and equity of access.</li><li>Innovation – such as a proposed project to deliver services closer to home through tele-health.</li></ul>This investment is through the Better Hospitals Fund.<br></div></div>",$60 million,,21/01/2019,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,68
Better Hospitals Fund - Overview,Australian Labor Party,"Labor has committed $2.8 billion from 2019-2025 for hospitals to reduce emergency department and elective surgery waiting times and to provide more beds, doctors and nurses.<div><br></div><div>Labor will invest an extra $764 million over the forward estimates and $2.814 billion over six years to fix Australia’s public hospitals.</div><div><br></div><div>Labor’s plan has been fully costed by the independent Parliamentary Budget Office.</div><div><br></div>",$2.814 billion from 2019 to 2025,,10/05/2018,,Health,Speech,Leader,National,1,,,,,With Policy Area,69
National Sexual and Reproductive Health Strategy - Overview,Australian Labor Party,"Labor has committed $9.3 million in intial funding to deliver a National Sexual and Reproductive Health Strategy, to make sure women can access legal, safe, and affordable reproductive health services.<div><br></div><div>Labor's strategy will:<br><div><ul><li>improve access to contraception</li><li>improve access to safe, legal ways to end a pregnancy</li><li>restore funding to the Australian Women's Health Network (AHWN).</li></ul></div></div>",$9.3 million,,6/03/2019,,Health,Press Release,Deputy Leader,National,5,,,,,With Policy Area,70
Netball Australia - Additional funding for grassroots participation and engagement programs,Australian Labor Party,"Labor has committed $20 million over two years to help fund a range of Netball Australia's grassroots participation and engagement programs, and to ensure a strong future for netball in Australia.&nbsp;<div><br></div><div>The funding will also support Netball Australia’s bid to host the 2027 Netball World Cup.</div>",$20 million over 2 years,,28/10/2018,,Health,Press Release,Leader,National,5,,,,,With Policy Area,71
Griffith Centre for Strong Foundations,Australian Labor Party,"Labor has committed $5 million to building the new Griffith Centre for Strong Foundations, a world-class research, teaching and health service at Griffith University's Logan campus focused on pregnancy, birth and the first two years of a child’s life.<div><br></div><div>This will be funded through the University Future Fund.</div>",$5 million,,21/11/2018,,Health,Press Release,Deputy Leader,Electorate,5,,,,,With Policy Area,72
Griffith University Regional Innovation Data Lab,Australian Labor Party,Labor has committed $3 million to establish a new Regional Innovation Data Lab at the Griffith University Logan campus. This new cutting edge facility will use data from government and business to improve services and planning for the local community.<div><br></div><div>This will be funded through the University Future Fund.</div>,$3 million,,21/11/2018,,"Infrastructure, Regional Development and Cities",Press Release,Deputy Leader,Electorate,5,,,,,With Policy Area,73
Addressing the Global Humanitarian Crisis,Australian Labor Party,"Labor has committed to ensure Australia contributes to the resettlement of genuine refugees via the following measures:&nbsp;<div><ul><li>Committing $500 million over five years to the work of the UNHCR, to deliver stronger asylum seeker assessment and resettlement processes across the region and closer to source countries.</li><li>Working more cooperatively with community, faith based and business groups to responsibly support and expand community sponsorship of refugees.&nbsp;</li><li>Reforming the Community Sponsored Refugee Program to, over time, allow up to 5000 refugees to resettle in Australia annually.</li><li>Appointing a Special Envoy for Refugee and Asylum Seeker Issues to advance Australia's interests and leadership on refugee issues within the region, secure third country resettlement agreements, develop an Australian Refugee Commission, and provide policy advice for Australia's Humanitarian Program.</li></ul></div>",$500 million over five years,,17/12/2018,,Home Affairs,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,74
Strong Border Protection,Australian Labor Party,Labor has committed $8.5 million to triple the number of Australian Federal Police officers overseas dedicated to working cooperatively with partner nations to deter and disrupt people smuggling operations at their source.,$8.5 million,,17/12/2018,,Home Affairs,Press Release,Relevant Spokesperson,International,5,,,,,With Policy Area,75
Improve Women's Access to Contraception,Australian Labor Party,"Labor has committed to improve women's access to contraception.<div><br><div>Labor will:</div><div><ul><li>Review the Medicare rebate for long-acting reversible contraceptives (LARCs), to make sure that cost isn’t a barrier to their use.<br></li><li>Ask the Therapeutic Goods Administration to advise government on options to reduce barriers to improve access to the contraceptive pill.&nbsp;That advice will include an investigation of arrangements in New Zealand where women can now get a three year prescription for the pill from their doctor.<br></li></ul></div><div><br></div></div>",,,5/03/2019,,Health,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,76
